Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,103,2388400000.0,2740300000.0,2191900000.0,2440200000.0,226859824.56,0.093
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,99,3307500000.0,3380500000.0,4746100000.0,3811366666.67,661627817.5,0.1736
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,73,3376700000.0,4743600000.0,3681300000.0,3933866666.67,585916002.7,0.1489
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,92,2134700000.0,3051700000.0,3000700000.0,2729033333.33,420772569.87,0.1542
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,54,2810300000.0,2953400000.0,2601700000.0,2788466666.67,144408548.53,0.0518
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,104,2586000000.0,2224100000.0,2289400000.0,2366500000.0,157482718.63,0.0665
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,12,1198400000.0,794160000.0,980300000.0,990953333.33,165202127.78,0.1667
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,21,1118000000.0,937870000.0,1388800000.0,1148223333.33,185327734.27,0.1614
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,25,836220000.0,1085900000.0,1002100000.0,974740000.0,103751153.57,0.1064
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,27,1111200000.0,683720000.0,787530000.0,860816666.67,182049424.12,0.2115
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,31,917390000.0,1015400000.0,1073800000.0,1002196666.67,64533030.47,0.0644
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,32,1146500000.0,1033200000.0,1476800000.0,1218833333.33,188183108.23,0.1544
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,33,1150500000.0,1214200000.0,864890000.0,1076530000.0,151894787.49,0.1411
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,39,870970000.0,1095100000.0,1107000000.0,1024356666.67,108569500.42,0.106
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,89,1237700000.0,1396700000.0,997560000.0,1210653333.33,164066707.03,0.1355
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,90,821020000.0,1255400000.0,867070000.0,981163333.33,194823788.13,0.1986
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,103,1356200000.0,1143500000.0,1163700000.0,1221133333.33,95861926.17,0.0785
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,99,1044600000.0,870020000.0,941430000.0,952016666.67,71664041.35,0.0753
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,73,1269300000.0,1779400000.0,1329400000.0,1459366666.67,227623963.78,0.156
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,92,1339600000.0,1313800000.0,1393300000.0,1348900000.0,33115253.28,0.0245
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,54,680920000.0,815040000.0,997590000.0,831183333.33,129782966.61,0.1561
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,104,819590000.0,1043100000.0,918830000.0,927173333.33,91438097.21,0.0986
F-actin-capping protein subunit alpha-2,CAPZA2,12,641950000.0,536400000.0,693850000.0,624066666.67,65510741.27,0.105
F-actin-capping protein subunit alpha-2,CAPZA2,21,793500000.0,702440000.0,856080000.0,784006666.67,63081454.93,0.0805
F-actin-capping protein subunit alpha-2,CAPZA2,25,491220000.0,1010200000.0,867050000.0,789490000.0,218855698.73,0.2772
F-actin-capping protein subunit alpha-2,CAPZA2,27,842510000.0,786000000.0,369070000.0,665860000.0,211126459.89,0.3171
F-actin-capping protein subunit alpha-2,CAPZA2,31,675630000.0,756300000.0,832780000.0,754903333.33,64163819.68,0.085
F-actin-capping protein subunit alpha-2,CAPZA2,32,694500000.0,624980000.0,980560000.0,766680000.0,153876028.89,0.2007
F-actin-capping protein subunit alpha-2,CAPZA2,33,782130000.0,766050000.0,679890000.0,742690000.0,44888911.77,0.0604
F-actin-capping protein subunit alpha-2,CAPZA2,39,783530000.0,1019200000.0,787960000.0,863563333.33,110066601.76,0.1275
F-actin-capping protein subunit alpha-2,CAPZA2,89,864270000.0,825260000.0,606910000.0,765480000.0,113251280.2,0.1479
F-actin-capping protein subunit alpha-2,CAPZA2,90,668270000.0,852540000.0,629090000.0,716633333.33,97422566.29,0.1359
F-actin-capping protein subunit alpha-2,CAPZA2,103,857150000.0,726810000.0,856550000.0,813503333.33,61301933.27,0.0754
F-actin-capping protein subunit alpha-2,CAPZA2,99,725910000.0,700210000.0,771120000.0,732413333.33,29311852.36,0.04
F-actin-capping protein subunit alpha-2,CAPZA2,73,906760000.0,791250000.0,942510000.0,880173333.33,64549903.35,0.0733
F-actin-capping protein subunit alpha-2,CAPZA2,92,919630000.0,1089100000.0,1022900000.0,1010543333.33,69735383.81,0.069
F-actin-capping protein subunit alpha-2,CAPZA2,54,951890000.0,885110000.0,907230000.0,914743333.33,27775645.61,0.0304
F-actin-capping protein subunit alpha-2,CAPZA2,104,635890000.0,947320000.0,869030000.0,817413333.33,132275902.15,0.1618
